,CRM (NYSE),,,,
Date,Open,High,Low,Close,Volume
1/11/2021,219.63,220.58,216.23,218.25,"7,206,463"
1/8/2021,220,222.32,219.22,222.04,"7,301,710"
1/7/2021,217.03,220.66,216.5,217.98,"8,443,142"
1/6/2021,218,220.46,215.78,216.15,"9,789,849"
1/5/2021,219.49,223,217.99,221.52,"8,657,235"
1/4/2021,222.64,223.75,215.72,220.31,"10,319,917"
12/31/2020,222.27,222.79,220.17,222.53,"6,011,121"
12/30/2020,223.13,223.64,221.58,222.4,"4,724,009"
12/29/2020,224.97,225.3,220.86,222.46,"6,122,445"
12/28/2020,227.22,227.84,222.05,224.64,"6,422,513"
