,AMD (NASD),,,,
Date,Open,High,Low,Close,Volume
11/11/2021,142.96,146.47,140.84,146.01,"67,934,845"
11/10/2021,143.93,146.3,138.52,139.87,"82,989,151"
11/9/2021,154.01,155.65,143.89,148.92,"98,442,597"
11/8/2021,137.7,153.6,137.7,150.16,"141,493,842"
11/5/2021,139.19,141.22,134.42,136.34,"64,920,597"
11/4/2021,132.01,139,130.77,137.5,"84,825,156"
11/3/2021,127.75,130.6,126.79,130.53,"59,537,815"
11/2/2021,124.98,128.46,124.2,127.63,"53,491,937"
11/1/2021,119.45,125.67,118.13,125.23,"54,559,780"
10/29/2021,120.95,122.57,119.88,120.23,"43,320,125"
10/28/2021,122.86,123.5,120.26,121.16,"58,002,459"
10/27/2021,121.63,128.08,121.05,122.28,"98,245,324"
10/26/2021,122.99,127.2,122.58,122.93,"59,458,928"
10/25/2021,120.52,123.46,118.6,122.36,"47,834,118"
10/22/2021,120.83,121.56,118.37,119.82,"38,992,694"
10/21/2021,116.5,119.68,116.26,119.33,"34,794,945"
10/20/2021,116.29,118.3,115.42,116.39,"34,244,811"
10/19/2021,116.16,117.17,114.47,116.33,"39,593,938"
10/18/2021,111.9,116.88,111.37,116.43,"47,537,763"
10/15/2021,112.51,112.84,111.11,112.12,"34,203,008"
10/14/2021,110.5,112.22,109.63,111.99,"46,900,157"
10/13/2021,106.28,109.88,106.25,109.16,"55,631,917"
10/12/2021,105.17,106.04,104.34,105.04,"34,039,906"
10/11/2021,104.62,107.2,104.02,104.68,"31,284,389"
10/8/2021,106.55,107.28,104.89,105.06,"30,623,047"
10/7/2021,104.6,107.95,104.46,106.45,"41,543,109"
10/6/2021,100.45,103.72,100.35,103.64,"39,071,703"
10/5/2021,100.92,102.87,100.61,101.81,"31,455,249"
10/4/2021,101.74,101.85,99.82,100.34,"41,967,149"
10/1/2021,102.6,103,100.64,102.45,"41,491,585"
9/30/2021,102.08,104.44,101.99,102.9,"57,636,700"
9/29/2021,102.3,102.66,99.81,100.35,"52,224,721"
9/28/2021,106.84,107.65,101.42,101.52,"74,468,968"
9/27/2021,105.07,108.44,103.44,108.16,"51,944,349"
9/24/2021,105.19,106.05,104.68,105.8,"26,482,610"
9/23/2021,104.89,106.86,103.89,106.15,"32,816,657"
9/22/2021,102.82,104.56,102.21,104.38,"34,126,280"
9/21/2021,102.15,103.43,101.18,102.82,"35,481,501"
9/20/2021,101.58,102.51,99.51,101.55,"45,228,411"
9/17/2021,105.56,105.98,103.71,103.88,"44,528,337"
9/16/2021,104.92,106.75,103.76,106.22,"38,150,269"
9/15/2021,106,106.32,104.03,105.6,"37,998,941"
9/14/2021,105.52,106.82,104.42,105.73,"40,629,527"
9/13/2021,105.26,105.28,102.63,104.8,"37,767,787"
9/10/2021,106.99,106.99,104.98,105.2,"32,602,293"
9/9/2021,106.56,107.3,105.84,106.15,"31,857,873"
9/8/2021,108.88,109.3,105.52,106.17,"43,067,911"
9/7/2021,109.96,110.58,108.66,109.15,"28,815,232"
9/3/2021,108.85,111.17,108.5,109.92,"42,623,780"
9/2/2021,110.32,110.88,108.77,109.2,"40,108,763"
9/1/2021,111.3,111.85,109.85,109.99,"38,579,559"
8/31/2021,111.26,111.26,109.03,110.72,"49,338,955"
8/30/2021,112.61,114.49,111.26,111.32,"56,130,467"
8/27/2021,108.01,111.78,107.8,111.4,"61,030,014"
8/26/2021,108.57,109.23,106.84,107.27,"51,442,548"
8/25/2021,108.13,109.91,107.45,108.3,"45,485,504"
8/24/2021,109.45,109.61,107.28,107.65,"51,239,297"
8/23/2021,105.3,109.02,104.86,108.77,"68,835,281"
8/20/2021,104.32,105.98,103.99,104.65,"55,227,562"
8/19/2021,103.32,106.18,101.98,103.7,"71,117,494"
8/18/2021,107.35,108.07,103.27,103.44,"79,387,943"
8/17/2021,106.64,108.7,105.35,107.56,"74,053,905"
8/16/2021,110.2,111.58,105.87,107.48,"73,398,938"
8/13/2021,107.17,111.71,106.57,110.55,"100,135,745"
8/12/2021,107.39,108.44,105.86,106.5,"60,625,725"
8/11/2021,107.6,109.79,105.62,107.68,"91,788,289"
8/10/2021,107.9,109.17,104.36,106.48,"113,012,297"
8/9/2021,111.31,112.33,107.06,107.58,"115,749,943"
8/6/2021,110.55,116.26,109.7,110.11,"143,899,026"
8/5/2021,116.63,117.68,111.59,112.35,"137,860,865"
8/4/2021,114.36,122.49,114.16,118.77,"225,368,699"
8/3/2021,108.15,114.85,107.66,112.56,"157,723,142"
8/2/2021,105.93,110.33,103.83,108.63,"115,581,854"
7/30/2021,101.6,106.97,101.38,106.19,"125,632,018"
7/29/2021,96.58,105.74,96.58,102.95,"164,091,761"
7/28/2021,93.44,98.71,89.65,97.93,"140,561,028"
7/27/2021,92.94,94.1,89.1,91.03,"69,427,021"
7/26/2021,92.01,92.75,91.12,91.82,"27,668,459"
7/23/2021,91.35,92.37,90.19,92.15,"31,708,899"
7/22/2021,89.4,91.36,89.08,91.21,"33,730,078"
7/21/2021,87.25,89.49,86.9,89.41,"29,469,864"
7/20/2021,87.09,87.77,85.17,87.11,"28,088,956"
7/19/2021,84.99,87.23,84.24,86.58,"39,244,796"
7/16/2021,87.32,88.03,85.68,85.89,"35,860,740"
7/15/2021,89.78,89.78,86.18,86.93,"38,944,741"
7/14/2021,90.76,91.4,88.94,89.05,"28,108,505"
7/13/2021,90.48,91.41,89.83,90.26,"30,367,595"
7/12/2021,91.22,91.9,89.65,90.81,"28,526,559"
7/9/2021,90.04,91.26,88.53,90.9,"35,278,416"
7/8/2021,87.86,90.34,87.45,89.74,"45,673,454"
7/7/2021,95.02,95.44,90.31,90.54,"51,498,481"
7/6/2021,94.88,95.41,93.32,94.47,"44,930,119"
7/2/2021,93.28,95.27,92.21,94.7,"51,342,975"
7/1/2021,94.04,94.18,91.7,93.31,"58,059,019"
6/30/2021,90.82,94.34,90.6,93.93,"70,721,525"
6/29/2021,87.41,90.3,86.66,89.52,"46,181,000"
6/28/2021,86.38,88,86.15,87.08,"30,262,042"
6/25/2021,86.34,86.36,85.1,85.62,"27,804,535"
6/24/2021,84.39,87.14,84.37,86.1,"42,217,665"
6/23/2021,83.83,84.49,83.16,83.82,"25,992,435"
6/22/2021,82.9,84.04,82.48,83.58,"32,107,700"
6/21/2021,83.49,84.19,82.21,82.59,"44,417,112"
6/18/2021,84.28,85.77,83.48,84.65,"58,736,805"
6/17/2021,80.77,85.37,80.57,84.56,"77,822,823"
6/16/2021,80.75,81.45,78.96,80.11,"29,598,309"
6/15/2021,81.59,81.68,80.23,80.47,"26,194,342"
6/14/2021,81.51,81.55,80.2,81.55,"27,830,243"
6/11/2021,81.61,82.33,80.7,81.31,"24,310,894"
6/10/2021,80.02,81.71,79.7,81.56,"28,606,356"
6/9/2021,81.09,81.68,79.8,79.96,"28,454,646"
6/8/2021,81.87,82.65,80.45,80.89,"26,956,625"
6/7/2021,81.4,81.68,80.38,81.35,"29,006,782"
6/4/2021,80.92,82.19,80.81,81.58,"26,387,799"
6/3/2021,81.13,81.89,80.26,80.28,"29,811,969"
6/2/2021,81,82.6,80.66,81.97,"35,203,224"
6/1/2021,81.01,82.91,80.66,80.81,"43,433,042"
5/28/2021,78.66,81.09,78.66,80.08,"40,952,663"
5/27/2021,78.11,78.43,77.47,78.42,"35,883,219"
5/26/2021,77.83,78.59,77.59,78.34,"30,353,997"
5/25/2021,77.33,78.77,76.84,77.86,"47,353,101"
5/24/2021,77.26,78.01,76.8,77.44,"33,194,287"
5/21/2021,78.55,78.81,77.04,77.17,"40,201,088"
5/20/2021,76.81,78.27,76.25,78.06,"49,135,012"
5/19/2021,73.16,76.97,72.76,76.23,"73,966,162"
5/18/2021,74.74,75.77,74.24,74.44,"31,982,482"
5/17/2021,74.22,75.52,73.41,74.65,"40,779,244"
5/14/2021,74.02,75.03,72.72,74.59,"38,355,787"
5/13/2021,75.21,75.7,72.5,73.09,"48,646,754"
5/12/2021,75.09,76.13,74.16,74.64,"42,531,423"
5/11/2021,73.57,76.93,72.75,76.83,"51,008,239"
5/10/2021,78.2,78.3,75.92,75.99,"45,134,490"
5/7/2021,78.75,79.57,78.22,78.81,"36,954,179"
5/6/2021,77.63,78.06,76.47,77.89,"38,661,325"
5/5/2021,79.05,79.3,77.36,77.83,"42,310,154"
5/4/2021,77.95,78.67,77.04,78.61,"59,194,328"
5/3/2021,81.97,82,78.46,78.55,"66,323,268"
4/30/2021,82.97,84.1,81.42,81.62,"46,601,858"
4/29/2021,84.7,85.27,82.63,83.91,"51,294,528"
4/28/2021,88.85,89.2,83.92,84.02,"108,920,306"
4/27/2021,85.67,87.15,85.13,85.21,"61,909,865"
4/26/2021,83.35,85.9,82.7,85.41,"57,594,535"
4/23/2021,80.21,83.3,79.96,82.76,"49,267,281"
4/22/2021,81.61,81.79,78.59,79.06,"38,846,050"
4/21/2021,78.99,81.66,78.86,81.61,"35,068,955"
4/20/2021,80.82,81.11,78.51,79.27,"34,977,750"
4/19/2021,82.13,83.18,80.39,81.11,"39,115,461"
4/16/2021,83.3,83.59,81.53,82.15,"47,280,570"
4/15/2021,80.32,83.95,79.97,83.01,"68,942,819"
4/14/2021,79.88,80.13,77.94,78.55,"34,263,832"
4/13/2021,79.67,80.72,78.98,80.19,"37,767,257"
4/12/2021,82.06,82.18,78.03,78.58,"62,098,804"
4/9/2021,82.8,83.59,82.16,82.76,"32,759,867"
4/8/2021,83.32,83.79,82.44,83.35,"41,925,284"
4/7/2021,81.32,83.1,80.35,82.2,"35,590,925"
4/6/2021,81.21,82.46,80.88,81.44,"29,327,948"
4/5/2021,81.74,81.9,80.39,81.43,"32,610,554"
4/1/2021,80.16,81.31,79.48,81.09,"40,182,380"
3/31/2021,76.57,79.13,76.52,78.5,"43,659,455"
3/30/2021,76.47,76.56,74.85,76,"39,169,250"
3/29/2021,77.03,78.02,76.26,77.14,"37,144,298"
3/26/2021,76.62,77.5,75.03,77.41,"49,148,659"
3/25/2021,75.85,76.95,74.96,76.22,"44,735,103"
3/24/2021,77.55,78.8,76.4,76.48,"43,753,642"
3/23/2021,80.13,80.34,77.95,78.38,"40,466,635"
3/22/2021,79.99,81.27,79.22,80.3,"39,648,614"
3/19/2021,78.49,79.34,77.59,79.06,"42,283,391"
3/18/2021,81.06,81.62,78.01,78.12,"51,036,502"
3/17/2021,81.75,83.25,80.41,82.63,"43,320,573"
3/16/2021,83.66,84.75,82.26,82.75,"42,971,552"
3/15/2021,81.91,83.39,81.2,82.5,"39,365,424"
3/12/2021,79.73,81.19,79.23,81.05,"32,937,950"
3/11/2021,79.4,81.89,79.37,81.23,"43,583,719"
3/10/2021,79.75,80.04,77.41,77.52,"45,416,616"
3/9/2021,76.73,79.22,75.77,78.53,"45,088,336"
3/8/2021,78.03,79,73.86,73.96,"54,563,874"
3/5/2021,79,79.48,74.2,78.52,"58,548,912"
3/4/2021,80.23,81.81,76.78,77.75,"60,549,371"
3/3/2021,84.28,84.38,80.85,80.86,"43,541,041"
3/2/2021,86.92,86.95,84.04,84.13,"34,828,157"
3/1/2021,85.37,86.5,83.97,86.39,"32,746,181"
2/26/2021,83.57,85.59,82.91,84.51,"48,962,907"
2/25/2021,86.17,87.09,81.92,82.42,"54,625,140"
2/24/2021,84.33,87.09,82.81,86.94,"40,821,150"
2/23/2021,83.4,85.11,79.36,84.74,"49,720,914"
2/22/2021,88.15,88.3,85.21,85.37,"36,930,182"
2/19/2021,89.75,90.42,88.69,89.58,"29,548,273"
2/18/2021,89.09,89.6,87.31,88.64,"35,624,948"
2/17/2021,90.56,90.96,88.57,89.94,"32,284,075"
2/16/2021,93.9,94,90.75,91.46,"35,105,917"
2/12/2021,92.75,94.22,91.9,93.77,"38,538,353"
2/11/2021,92.9,93.65,91.33,92.66,"35,571,025"
2/10/2021,91.5,93.27,90.46,92.35,"42,441,300"
2/9/2021,91.39,93.3,90.55,90.91,"37,596,446"
2/8/2021,88.31,91.99,87.98,91.47,"47,639,887"
2/5/2021,88.15,88.36,86.88,87.9,"30,268,677"
2/4/2021,88.22,88.6,87.06,87.84,"30,791,641"
2/3/2021,88.6,89.48,87.34,87.89,"32,312,885"
2/2/2021,88.49,89.28,86.95,88.86,"33,850,049"
2/1/2021,86.83,87.95,84.66,87.66,"42,359,344"
1/29/2021,87.56,88.33,85.02,85.64,"56,735,828"
1/28/2021,89.83,89.88,87.3,87.52,"47,048,362"
1/27/2021,91.1,91.88,86.22,88.84,"73,341,193"
1/26/2021,94.91,95.72,93.63,94.71,"59,449,053"
1/25/2021,94.14,95.74,91.4,94.13,"55,086,943"
1/22/2021,94.42,95.95,91.88,92.79,"71,294,707"
1/21/2021,89.34,92.07,88.43,91.53,"54,596,079"
1/20/2021,90.55,90.78,88.6,88.75,"35,185,810"
1/19/2021,89.56,89.58,87.24,89.45,"45,115,055"
1/15/2021,90.75,91.59,87.86,88.21,"49,340,338"
1/14/2021,91.77,92.36,90.45,90.79,"53,408,241"
1/13/2021,93.01,93.89,90.84,91.78,"60,712,896"
1/12/2021,97.86,98.97,94.07,95.36,"67,672,311"
1/11/2021,94.03,99.23,93.76,97.25,"48,669,103"
1/8/2021,95.98,96.4,93.27,94.58,"39,816,400"
1/7/2021,91.33,95.51,91.2,95.16,"42,897,157"
1/6/2021,91.62,92.28,89.46,90.33,"51,911,657"
1/5/2021,92.1,93.21,91.41,92.77,"34,207,989"
1/4/2021,92.11,96.06,90.92,92.3,"51,802,552"
12/31/2020,92.1,92.3,90.87,91.71,"24,930,684"
12/30/2020,90.78,92.85,90.19,92.29,"25,844,973"
12/29/2020,91.66,92.46,89.43,90.62,"31,748,211"
12/28/2020,92.93,93.14,90.82,91.6,"30,627,297"
